nomedepartamento;nomelinha;sublinha;no_gerencia;gerencia;categoria;subcategoria
Artesanato;Crochê e Tricô;Crochê e Tricô;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Crochê e Tricô;Cursos e Treinamentos;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;EVA;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;EVA;Aplicação;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;EVA;EVA;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;EVA;Furadores;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;EVA;Placas em EVA;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;EVA;Peças em EVA;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Meia de Seda;Acessórios Meia de Seda;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Meia de Seda;Meias Seda;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Outros Artesanatos;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Outros Artesanatos;Acessórios Industriais;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Outros Artesanatos;Decoupage;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Outros Artesanatos;Feltragem;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Outros Artesanatos;Outros Artesanatos;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Outros Artesanatos;Scrapbooking;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Outros Artesanatos;Cursos e Treinamentos;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Outros Artesanatos;Quiling;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
