id,createdat,data,bandeira,hour,iddepartamento,nomedepartamento,idlinha,nomelinha,idsublinha,nomesublinha,canalmis,visits,pedidos,receita,unidades,productview,carrinhoadicionar,checkout,checkoutenderecolistar,checkoutpagamento,datepartition
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,null,null,Canal - SEM PLA (WA),43,2,530.1,2,36,6,4,2,2,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - SEM Branding (WA),86,2,3098,2,54,8,5,4,3,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,null,null,Canal - SEM Search (WA),4,0,0,0,2,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - SEM PLA (WA),163,1,1999,1,138,7,7,5,4,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,null,null,Canal - SEO (WA),5,0,0,0,3,1,1,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - SEM Search (WA),10,0,0,0,6,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,null,null,Canal - Social DPA (WA),9,0,0,0,8,1,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - SEO (WA),83,1,1399,1,46,9,4,2,2,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,2878,centrifuga de roupas,null,2,0,0,0,2,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - Social DPA (WA),35,0,0,0,26,7,2,1,1,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,2878,centrifuga de roupas,Canal - SEM Branding (WA),2,0,0,0,1,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - Social Patrocinado (WA),4,0,0,0,3,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,2878,centrifuga de roupas,Canal - SEM PLA (WA),3,0,0,0,0,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1955,TV Curva,null,1,0,0,0,1,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,2878,centrifuga de roupas,Canal - SEO (WA),1,0,0,0,0,0,0,0,0,2018-08-01
