id|reportsuiteid|reportsuitename|data|hour|termo|quantidade|createdat
1558||CB - CasasBahia.com.br|09/08/2018|11|sofa|263|2018-08-14 15:54:07.0000000
1559||CB - CasasBahia.com.br|09/08/2018|11|painel para tv|225|2018-08-14 15:54:07.0000000
1560||CB - CasasBahia.com.br|09/08/2018|11|armÃ¡rio de cozinha|219|2018-08-14 15:54:07.0000000
1561||CB - CasasBahia.com.br|09/08/2018|12|celular|845|2018-08-14 15:54:07.0000000
1562||CB - CasasBahia.com.br|09/08/2018|12|guarda roupas de casal|545|2018-08-14 15:54:07.0000000
1563||CB - CasasBahia.com.br|09/08/2018|12|guarda roupa|559|2018-08-14 15:54:07.0000000
1564||CB - CasasBahia.com.br|09/08/2018|12|notebook|502|2018-08-14 15:54:07.0000000
1565||CB - CasasBahia.com.br|09/08/2018|12|iphone|408|2018-08-14 15:54:07.0000000
1566||CB - CasasBahia.com.br|09/08/2018|12|geladeira|363|2018-08-14 15:54:07.0000000
1567||CB - CasasBahia.com.br|09/08/2018|12|microondas|326|2018-08-14 15:54:07.0000000
1568||CB - CasasBahia.com.br|09/08/2018|12|sofa|333|2018-08-14 15:54:07.0000000
1569||CB - CasasBahia.com.br|09/08/2018|12|painel para tv|230|2018-08-14 15:54:07.0000000
1570||CB - CasasBahia.com.br|09/08/2018|12|armÃ¡rio de cozinha|282|2018-08-14 15:54:07.0000000
1571||CB - CasasBahia.com.br|09/08/2018|13|celular|811|2018-08-14 15:54:07.0000000
1572||CB - CasasBahia.com.br|09/08/2018|13|guarda roupas de casal|476|2018-08-14 15:54:07.0000000
1573||CB - CasasBahia.com.br|09/08/2018|13|guarda roupa|386|2018-08-14 15:54:07.0000000
1574||CB - CasasBahia.com.br|09/08/2018|13|notebook|394|2018-08-14 15:54:07.0000000
1575||CB - CasasBahia.com.br|09/08/2018|13|iphone|435|2018-08-14 15:54:07.0000000
1576||CB - CasasBahia.com.br|09/08/2018|13|geladeira|412|2018-08-14 15:54:07.0000000
1577||CB - CasasBahia.com.br|09/08/2018|13|microondas|377|2018-08-14 15:54:07.0000000
1578||CB - CasasBahia.com.br|09/08/2018|13|sofa|281|2018-08-14 15:54:07.0000000
1579||CB - CasasBahia.com.br|09/08/2018|13|painel para tv|225|2018-08-14 15:54:07.0000000
1580||CB - CasasBahia.com.br|09/08/2018|13|armÃ¡rio de cozinha|335|2018-08-14 15:54:07.0000000
1581||CB - CasasBahia.com.br|09/08/2018|14|celular|896|2018-08-14 15:54:07.0000000
1582||CB - CasasBahia.com.br|09/08/2018|14|guarda roupas de casal|472|2018-08-14 15:54:07.0000000
1583||CB - CasasBahia.com.br|09/08/2018|14|guarda roupa|555|2018-08-14 15:54:07.0000000
1584||CB - CasasBahia.com.br|09/08/2018|14|notebook|454|2018-08-14 15:54:07.0000000
1585||CB - CasasBahia.com.br|09/08/2018|14|iphone|431|2018-08-14 15:54:07.0000000
1586||CB - CasasBahia.com.br|09/08/2018|14|geladeira|297|2018-08-14 15:54:07.0000000
1587||CB - CasasBahia.com.br|09/08/2018|14|microondas|463|2018-08-14 15:54:07.0000000
1588||CB - CasasBahia.com.br|09/08/2018|14|sofa|306|2018-08-14 15:54:07.0000000
1589||CB - CasasBahia.com.br|09/08/2018|14|painel para tv|202|2018-08-14 15:54:07.0000000
1590||CB - CasasBahia.com.br|09/08/2018|14|armÃ¡rio de cozinha|283|2018-08-14 15:54:07.0000000
1591||CB - CasasBahia.com.br|09/08/2018|15|celular|1246|2018-08-14 15:54:07.0000000
1592||CB - CasasBahia.com.br|09/08/2018|15|guarda roupas de casal|634|2018-08-14 15:54:07.0000000
1593||CB - CasasBahia.com.br|09/08/2018|15|guarda roupa|549|2018-08-14 15:54:07.0000000
1594||CB - CasasBahia.com.br|09/08/2018|15|notebook|394|2018-08-14 15:54:07.0000000
1595||CB - CasasBahia.com.br|09/08/2018|15|iphone|481|2018-08-14 15:54:07.0000000
1596||CB - CasasBahia.com.br|09/08/2018|15|geladeira|377|2018-08-14 15:54:07.0000000
1597||CB - CasasBahia.com.br|09/08/2018|15|microondas|339|2018-08-14 15:54:07.0000000
1598||CB - CasasBahia.com.br|09/08/2018|15|sofa|294|2018-08-14 15:54:07.0000000
1599||CB - CasasBahia.com.br|09/08/2018|15|painel para tv|316|2018-08-14 15:54:07.0000000
1600||CB - CasasBahia.com.br|09/08/2018|15|armÃ¡rio de cozinha|236|2018-08-14 15:54:07.0000000
1601||CB - CasasBahia.com.br|09/08/2018|16|celular|803|2018-08-14 15:54:07.0000000
1602||CB - CasasBahia.com.br|09/08/2018|16|guarda roupas de casal|422|2018-08-14 15:54:07.0000000
1603||CB - CasasBahia.com.br|09/08/2018|16|guarda roupa|579|2018-08-14 15:54:07.0000000
1604||CB - CasasBahia.com.br|09/08/2018|16|notebook|446|2018-08-14 15:54:07.0000000
1605||CB - CasasBahia.com.br|09/08/2018|16|iphone|412|2018-08-14 15:54:07.0000000
1606||CB - CasasBahia.com.br|09/08/2018|16|geladeira|452|2018-08-14 15:54:07.0000000
1607||CB - CasasBahia.com.br|09/08/2018|16|microondas|344|2018-08-14 15:54:07.0000000
1608||CB - CasasBahia.com.br|09/08/2018|16|sofa|361|2018-08-14 15:54:07.0000000
1609||CB - CasasBahia.com.br|09/08/2018|16|painel para tv|268|2018-08-14 15:54:07.0000000
1610||CB - CasasBahia.com.br|09/08/2018|16|armÃ¡rio de cozinha|205|2018-08-14 15:54:07.0000000
1611||CB - CasasBahia.com.br|09/08/2018|17|celular|762|2018-08-14 15:54:07.0000000
1612||CB - CasasBahia.com.br|09/08/2018|17|guarda roupas de casal|384|2018-08-14 15:54:07.0000000
1613||CB - CasasBahia.com.br|09/08/2018|17|guarda roupa|462|2018-08-14 15:54:07.0000000
1614||CB - CasasBahia.com.br|09/08/2018|17|notebook|406|2018-08-14 15:54:07.0000000
1615||CB - CasasBahia.com.br|09/08/2018|17|iphone|353|2018-08-14 15:54:07.0000000
1616||CB - CasasBahia.com.br|09/08/2018|17|geladeira|324|2018-08-14 15:54:07.0000000
1617||CB - CasasBahia.com.br|09/08/2018|17|microondas|296|2018-08-14 15:54:07.0000000
1618||CB - CasasBahia.com.br|09/08/2018|17|sofa|242|2018-08-14 15:54:07.0000000
1619||CB - CasasBahia.com.br|09/08/2018|17|painel para tv|224|2018-08-14 15:54:07.0000000
1620||CB - CasasBahia.com.br|09/08/2018|17|armÃ¡rio de cozinha|136|2018-08-14 15:54:07.0000000
1621||CB - CasasBahia.com.br|09/08/2018|18|celular|682|2018-08-14 15:54:07.0000000
1622||CB - CasasBahia.com.br|09/08/2018|18|guarda roupas de casal|460|2018-08-14 15:54:07.0000000
